category,family,arm,lambda_value,lambda_anchor,first_stage_r2,direction,is_anchor,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle,tail_elasticity_std
SDR,baseline,greedy,0.062,0.062,0.28,loop,True,-2.79,-0.6202,2.1698,4157.77,93.09,0.0056
FRD,baseline,greedy,0.059,0.059,0.12,loop,True,-3.47,-0.849,2.621,3020.26,95.62,0.1761
OAT,baseline,greedy,0.03,0.03,0.39,loop,True,-2.34,-0.5704,1.7696,4158.06,86.64,0.1238
CRA,baseline,greedy,0.025,0.025,0.41,loop,True,-2.44,-0.6225,1.8175,4158.0,88.52,0.0086
FEC,baseline,greedy,0.024,0.024,0.26,loop,True,-2.2,-0.246,1.954,4837.57,83.94,0.0031
TBR,baseline,greedy,0.018,0.018,0.2,loop,True,-1.25,-0.1242,1.1258,2244.13,17.28,0.0031
SOA,baseline,greedy,0.015,0.015,0.14,loop,True,-2.42,-0.2993,2.1207,4195.96,88.18,0.0039
LND,baseline,greedy,0.015,0.015,0.2,loop,True,-3.41,-0.4505,2.9595,3152.86,95.46,0.0022
CER,baseline,greedy,0.012,0.012,0.51,loop,True,-2.48,-0.6417,1.8383,4065.43,89.04,0.0076
ANA,baseline,greedy,0.012,0.012,0.38,loop,True,-1.43,-0.1875,1.2425,3530.88,36.73,0.0012
COO,baseline,greedy,0.009,0.009,0.39,loop,True,-2.69,-0.3826,2.3074,3899.61,91.6,0.004
CSO,baseline,greedy,0.0,0.0,0.59,promo,True,-1.51,-0.407,1.103,4126.59,44.6,0.0075
CHE,baseline,greedy,0.0,0.0,0.16,promo,True,-1.74,-0.2573,1.4827,4841.65,63.26,0.0062
BER,baseline,greedy,0.0,0.0,0.11,promo,True,-2.51,-0.3771,2.1329,4158.57,89.54,0.0076
BJC,baseline,greedy,0.0,0.0,0.26,promo,True,-2.71,-0.4097,2.3003,4024.28,91.93,0.008
FRJ,baseline,greedy,0.0,0.0,0.21,promo,True,-1.41,-0.2051,1.2049,4127.05,34.55,0.007
FSF,baseline,greedy,0.0,0.0,0.21,promo,True,-2.32,-0.3485,1.9715,4563.07,86.45,0.0073
GRO,baseline,greedy,0.0,0.0,0.2,promo,True,-1.03,-0.1537,0.8763,611.4,3.04,0.0051
DID,baseline,greedy,0.0,0.0,0.24,promo,True,-2.55,-0.3849,2.1651,4264.1,90.22,0.0077
PTW,baseline,greedy,0.0,0.0,0.24,promo,True,-2.55,-0.3782,2.1718,4813.05,90.64,0.0084
SHA,baseline,greedy,0.0,0.0,0.14,promo,True,-1.3,-0.1949,1.1051,2564.39,22.7,0.0051
TNA,baseline,greedy,0.0,0.0,0.2,promo,True,-1.81,-0.2691,1.5409,5133.45,67.72,0.007
TPA,baseline,greedy,0.0,0.0,0.23,promo,True,-2.13,-0.3219,1.8081,4661.97,81.48,0.0069
TTI,baseline,greedy,0.0,0.0,0.27,promo,True,-2.84,-0.428,2.412,4077.91,93.16,0.0086
